kÛd obce;n·zev obce;voliËi v seznamu;vydanÈ ob·lky;platnÈ hlasy;ObËansk· demokratick· strana;ÿ·d n·roda - Vlasteneck· unie;CESTA ODPOVÃDN… SPOLE»NOSTI;»esk· str.soci·lnÏ demokrat.;RadostnÈ »esko;STAROSTOV… A NEZ¡VISLÕ;Komunistick· str.»ech a Moravy;Strana zelen˝ch;ROZUMNÕ-stop migraci,dikt·t.EU;Strana svobodn˝ch obËan˘;Blok proti islam.-Obran.domova;ObËansk· demokratick· aliance;»esk· pir·tsk· strana;Unie H.A.V.E.L.;Referendum o EvropskÈ unii;TOP 09;ANO 2011;Dobr· volba 2016;SPR-Republ.str.»sl. M.Sl·dka;K¯esù.demokr.unie-»s.str.lid.;»esk· strana n·rodnÏ soci·lnÌ;REALIST…;SPORTOVCI;DÏlnic.str.soci·lnÌ spravedl.;Svob.a p¯.dem.-T.Okamura (SPD);Strana Pr·v ObËan˘
598305;SvÈmyslice;289;214;213;50;0;0;12;0;17;9;1;0;1;0;1;27;0;0;29;41;0;0;2;0;3;0;3;16;1
538442;LÌbeznice;1763;1245;1235;431;0;0;41;0;63;50;19;1;24;1;1;157;0;1;72;258;0;0;20;0;6;1;0;86;3
538108;Br·zdim;533;374;373;49;0;0;15;1;23;26;4;4;5;0;0;64;0;0;17;111;0;0;8;0;4;2;1;36;3
538876;äestajovice;2479;1832;1827;448;2;4;73;1;151;36;21;4;36;0;2;254;0;1;210;385;1;1;44;1;17;3;3;126;3
538221;Horouöany;934;676;669;87;1;1;37;1;44;27;10;6;10;3;1;130;0;0;61;157;0;2;18;0;3;0;0;68;2
598267;Modletice;356;219;219;30;0;0;4;0;28;13;4;2;2;0;0;40;0;1;25;52;0;0;3;0;2;0;0;13;0
538833;Sulice;1325;1031;1019;226;1;0;34;0;67;37;17;6;16;1;1;155;0;4;100;257;1;0;16;0;10;1;0;68;1
571954;Sudovo Hlavno;393;239;239;38;0;0;13;0;20;13;2;1;1;2;0;23;0;0;11;81;0;0;7;1;1;1;2;22;0
533904;Vyûlovka;503;376;375;65;2;0;5;0;36;13;7;3;2;2;3;48;1;1;36;102;3;0;10;0;0;0;1;34;1
538477;MÏöice;1405;944;933;216;0;0;44;1;43;40;9;5;10;2;2;142;0;2;88;236;0;1;16;1;8;2;1;64;0
